source_Location_name_split,Major_Inclusion_Not employment,Major_Not inclusion_Employment,Major_Not inclusion_Not employment,Minor_Inclusion_Employment,Minor_Inclusion_Not employment,Minor_Not inclusion_Employment,Minor_Not inclusion_Not employment,None_Not inclusion_Not employment
Malaysia,0,0,0,0,0,0,33490.0587316814,2666999.25224827
Mali,0,0,0,0,0,0,0,223894673.754928
Malta,0,0,0,0,0,0,0,2417693.22413558
Mauritania,0,0,0,0,0,0,0,75939379.8982259
Mauritius,0,0,0,0,0,0,0,1067301.26598093
Mexico,0,0,0,0,0,0,0,14531104.5088429
"Moldova, Republic of",0,0,0,0,0,0,0,2571.03713593316
Monaco,0,0,0,0,0,0,0,4063922.1704909
Mongolia,0,0,0,0,0,0,0,66494.7813678693
Montenegro,0,0,0,0,0,0,0,28368.2120158497
Morocco,0,0,0,0,0,0,0,10418980.5868409
Mozambique,0,0,0,0,0,0,0,196032.435558428
Myanmar,0,0,0,0,0,0,987952.007033292,65520661.1951617
Namibia,0,0,0,0,0,0,0,2431990.52157798
Nauru,0,0,0,0,0,0,0,71258
Nepal,0,0,0,0,0,0,0,85653033.9270581
Netherlands,0,0,0,0,0,0,74216.4814324619,2055433435.14778
New Zealand,0,0,0,0,0,0,0,114412228.018185
Niger,0,0,0,0,0,0,0,363450412.48614
Nigeria,0,0,209591.932903244,0,0,0,0,206518295.31455
Norway,0,0,861970.092555275,0,1434037.19901325,0,9772653.92646293,4441105285.08039
Oman,0,0,0,0,0,0,0,83029305.8911003
Pakistan,0,0,99916,0,0,0,307718.859270894,426569414.103856
Papua New Guinea,0,0,0,0,0,0,0,144647
Peru,0,0,0,0,0,0,0,48150.8436197562
Philippines,0,0,0,0,0,0,0,105472125.43658
Poland,0,0,0,0,0,0,137030.519352097,52952037.5293437
Portugal,0,0,0,0,0,0,0,4690829.45318431
Qatar,0,0,0,0,0,0,120000,753280913.694652
Romania,0,0,0,0,0,0,0,3130711.25161917
Russian Federation,0,0,0,0,0,0,0,287309770.442802
Saint Kitts and Nevis,0,0,0,0,0,0,0,369999.385737756
Saint Lucia,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0,46930
San Marino,0,0,0,0,0,0,0,44930.1569527909
Saudi Arabia,0,0,0,0,0,0,2964481.74570743,2657856680.79381
Senegal,0,0,0,0,0,0,0,17978625.7148979
Serbia,0,0,0,0,0,0,0,571083.370328286
Sierra Leone,0,0,0,0,0,0,0,1e+06
Singapore,0,0,0,0,0,0,0,2254999.90318395
Slovakia,0,0,0,0,0,0,0,3145510.38330292
Slovenia,0,0,0,0,0,0,0,1992777.56344713
Somalia,0,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,6586039.66986651
South Sudan,0,0,3711658.2388581,0,0,0,0,6104385729.2086
Spain,0,0,637161.185047562,0,0,0,5029545.96400373,374647586.103493
Sri Lanka,0,0,0,0,0,0,0,6400839.13287198
Sudan,0,0,2124596.69067153,0,0,0,733866.203840262,1403704779.48042
Sweden,342907.768733326,0,2528658.4148105,0,595354.930667629,949226,2629971.08713068,5204355864.8017
Switzerland,171675.130167887,0,416591.934424542,0,0,0,4951064.96424866,2341339591.01928
Syrian Arab Republic,0,0,0,0,0,0,0,0
Tajikistan,0,0,0,0,0,0,0,2850.86702751608
"Tanzania, United Republic of",0,0,0,0,0,0,0,240079.718378261
Thailand,0,0,0,0,0,0,0,23022210.663656
Timor-Leste,0,0,0,0,0,0,0,6673714.27352154
Togo,0,0,0,0,0,0,0,1815.19978241441
Tonga,0,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0,0,0,315648.98472566
Turkey,0,0,0,0,0,0,322912.213957903,146148645.4788
Turks and Caicos Islands,0,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0,12574030.1211362
Ukraine,0,0,0,0,0,0,0,32827407.2383642
United Arab Emirates,0,0,0,0,0,0,26489635.9191368,2641564082.51964
United Kingdom,2207158.39602771,0,13492733.0103202,0,229908.709945384,0,5924712.58815731,9828095142.6977
United States,0,2235242.35873735,19761266.417922,0,1e+06,0,213627209.361281,33861594606.2874
Uruguay,0,0,0,0,0,0,0,271289.717226167
Vanuatu,0,0,0,0,0,0,0,1441089.81187396
"Venezuela, Bolivarian Republic of",0,0,0,0,0,0,0,0
Viet Nam,0,0,0,0,0,0,0,150065.429292415
"Virgin Islands, British",0,0,0,0,0,0,0,0
Yemen,0,0,366206.637268133,0,0,0,0,741247674.953162
Zambia,0,0,0,0,0,0,0,114447.624835612
Zimbabwe,0,0,0,0,0,0,0,93110926.24638
occupied Palestinian territory,396226.493307613,0,171971.563369068,0,0,0,345848.0514944,251592922.609993
